DATE_LOG,GATUN_LAKE_LEVEL(FEET)
1965-01-31,86.36354839
1965-02-28,85.75357143
1965-03-31,84.52193548
1965-04-30,83.38066667
1965-05-31,82.67774194
1965-06-30,82.76266667
1965-07-31,82.41967742
1965-08-31,82.73096774
1965-09-30,83.16133333
1965-10-31,84.40548387
1965-11-30,86.77233333
1965-12-31,87.41483871
1966-01-31,86.87516129
1966-02-28,85.7675
1966-03-31,84.46322581
1966-04-30,83.765
1966-05-31,84.02322581
1966-06-30,84.914
1966-07-31,85.66774194
1966-08-31,86.44870968
1966-09-30,86.51566667
1966-10-31,86.57774194
1966-11-30,86.61866667
1966-12-31,86.85645161
1967-01-31,86.97064516
1967-02-28,86.53
1967-03-31,85.83774194
1967-04-30,85.40066667
1967-05-31,85.76709677
1967-06-30,86.293
1967-07-31,86.50709677
1967-08-31,86.5783871
1967-09-30,86.64133333
1967-10-31,86.63096774
1967-11-30,86.64733333
1967-12-31,86.93935484
1968-01-31,86.38
1968-02-29,85.83068966
1968-03-31,85.30322581
1968-04-30,84.641
1968-05-31,84.73096774
1968-06-30,85.21733333
1968-07-31,85.60806452
1968-08-31,85.94677419
1968-09-30,85.86166667
1968-10-31,86.30290323
1968-11-30,86.85833333
1968-12-31,87.17354839
1969-01-31,87.03516129
1969-02-28,86.57107143
1969-03-31,85.82258065
1969-04-30,84.86933333
1969-05-31,84.85806452
1969-06-30,85.64133333
1969-07-31,85.73677419
1969-08-31,85.67483871
1969-09-30,85.94266667
1969-10-31,86.48225806
1969-11-30,86.615
1969-12-31,87.29677419
1970-01-31,87.46290323
1970-02-28,87.12107143
1970-03-31,86.35709677
1970-04-30,85.96
1970-05-31,85.79774194
1970-06-30,85.90633333
1970-07-31,86.04322581
1970-08-31,86.53419355
1970-09-30,86.65966667
1970-10-31,86.6783871
1970-11-30,86.63433333
1970-12-31,87.32354839
1971-01-31,87.19
1971-02-28,86.03892857
1971-03-31,84.8416129
1971-04-30,84.203
1971-05-31,84.83612903
1971-06-30,85.38633333
1971-07-31,85.18548387
1971-08-31,85.73645161
1971-09-30,86.278
1971-10-31,86.75806452
1971-11-30,86.776
1971-12-31,86.70064516
1972-01-31,87.05096774
1972-02-29,86.60068966
1972-03-31,85.75354839
1972-04-30,85.20966667
1972-05-31,85.29677419
1972-06-30,85.65266667
1972-07-31,85.57580645
1972-08-31,85.02645161
1972-09-30,84.90933333
1972-10-31,85.76096774
1972-11-30,85.967
1972-12-31,86.02
1973-01-31,85.80451613
1973-02-28,85.2125
1973-03-31,84.21225806
1973-04-30,83.17833333
1973-05-31,82.33903226
1973-06-30,82.66433333
1973-07-31,83.70387097
1973-08-31,84.05032258
1973-09-30,84.75966667
1973-10-31,85.31354839
1973-11-30,86.431
1973-12-31,87.16032258
1974-01-31,86.76741935
1974-02-28,85.97035714
1974-03-31,85.14612903
1974-04-30,84.24733333
1974-05-31,83.75741935
1974-06-30,83.75366667
1974-07-31,83.38548387
1974-08-31,83.4416129
1974-09-30,83.832
1974-10-31,85.60548387
1974-11-30,86.639
1974-12-31,87.02516129
1975-01-31,86.39483871
1975-02-28,85.68178571
1975-03-31,84.87774194
1975-04-30,83.69966667
1975-05-31,82.99387097
1975-06-30,83.266
1975-07-31,83.43935484
1975-08-31,84.19064516
1975-09-30,85.48
1975-10-31,86.51225806
1975-11-30,87.05966667
1975-12-31,87.56548387
1976-01-31,86.77903226
1976-02-29,85.05
1976-03-31,83.20870968
1976-04-30,82.39133333
1976-05-31,82.2316129
1976-06-30,82.25233333
1976-07-31,82.09580645
1976-08-31,81.82129032
1976-09-30,82.66766667
1976-10-31,84.51290323
1976-11-30,85.851
1976-12-31,85.68645161
1977-01-31,85.00774194
1977-02-28,84.30178571
1977-03-31,83.45709677
1977-04-30,82.20233333
1977-05-31,80.9583871
1977-06-30,81.34733333
1977-07-31,81.87225806
1977-08-31,83.24612903
